eggNOG,n,post_prob
COG4688,4.0,1.0
COG1546,19.0,0.9999999999992268
COG0497,18.0,0.9999999999381302
NOG212172,4.0,0.999999987383556
NOG89520,3.0,0.9999971982467678
NOG02334,1.0,0.9999941312271672
NOG83531,1.0,0.9999831954906637
NOG80132,5.0,0.9999491550971998
NOG25238,3.0,0.9998613032392002
NOG53800,1.0,0.999378193362547
NOG77632,4.0,0.9992009533297769
COG1988,13.0,0.999121949129687
NOG52430,5.0,0.9990894899463151
NOG83417,1.0,0.9988580593321464
NOG119535,1.0,0.9952907134254104
NOG13132,7.0,0.9940057569622301
COG3645,8.0,0.9915497568826912
COG3485,4.0,0.9888317642919248
NOG144367,3.0,0.9883960758718854
NOG224353,2.0,0.9876018893065689
NOG05361,9.0,0.9824116243160661
NOG151614,2.0,0.9820957877141735
COG0418,5.0,0.9817428895529283
COG1974,55.0,0.9801369833001977
NOG116028,3.0,0.9784778340878036
NOG120685,2.0,0.9777979748372151
COG1983,6.0,0.9773554883306588
NOG100529,2.0,0.9720214726793762
COG4757,2.0,0.9710826039153277
NOG186608,1.0,0.960111209350743
NOG105603,1.0,0.9579435467549262
NOG104788,2.0,0.9569104817856543
COG3449,6.0,0.954806253553242
COG0632,17.0,0.9416316467272626
COG4679,6.0,0.9224580378638888
NOG33007,2.0,0.9217507505699952
NOG63467,1.0,0.9163132842378409
COG3646,12.0,0.9000738232451382
NOG62406,3.0,0.8899521971358627
NOG08825,2.0,0.8890103208975763
NOG82272,10.0,0.8551456477658418
NOG202505,1.0,0.848762057299828
COG4988,15.0,0.8409838263012873
NOG82895,6.0,0.8406031724765697
COG0818,16.0,0.8181385310206166
NOG98675,1.0,0.8128905420196836
NOG01156,14.0,0.7509232233678532
NOG96485,2.0,0.7080065944483175
NOG164584,3.0,0.705714764889368
COG4637,8.0,0.6297908663659543
COG0099,5.0,0.5951011513718258
NOG12074,1.0,0.5810943045780109
COG0468,16.0,0.5349183089257029
NOG41089,6.0,0.524424568321145
COG3009,9.0,0.5045900440492225
NOG113216,1.0,0.4832435656143888
NOG84032,5.0,0.44009609570059505
COG2979,8.0,0.41514068358536227
NOG05201,3.0,0.40521602779279675
NOG66415,5.0,0.3407225996937526
COG0100,9.0,0.3135752654533012
COG1444,9.0,0.3129773218846882
NOG213188,2.0,0.31241554340918787
NOG02841,4.0,0.3058579588983883
NOG29913,6.0,0.2743057181964201
COG0217,13.0,0.2652863959677401
NOG58814,2.0,0.2522396828603127
