Deferribacter,980.0
Dehalococcoides,1963.0
Dehalogenimonas,326.0
Deinococcus,616.0
Delftia,1164.0
Denitrovibrio,854.0
Dermacoccus,52.0
Desmospora,1199.0
Desulfarculus,578.0
Desulfatibacillum,1249.0
Desulfitobacterium,13832.0
Desulfobacca,426.0
Desulfobacterium,880.0
Desulfobulbus,663.0
Desulfococcus,751.0
Desulfohalobium,316.0
Desulfomicrobium,821.0
Desulfonatronospira,518.0
Desulfosporosinus,12075.0
Desulfotalea,520.0
Desulfotomaculum,19156.0
Desulfovibrio,29605.0
Desulfurispirillum,400.0
Desulfurivibrio,292.0
Desulfurobacterium,518.0
Desulfurococcus,62.0
Desulfuromonas,615.0
Dethiobacter,2246.0
Dethiosulfovibrio,1226.0
Dialister,27526.0
Dichelobacter,90.0
Dickeya,1334.0
Dictyoglomus,2018.0
Dictyostelium,1053.0
Dinoroseobacter,68.0
Dipodomys,15.0
Dokdonia,419.0
Dorea,43783.0
Drosophila,236.0
Dyadobacter,1404.0
Dysgonomonas,14880.0
Echinops,19.0
Edwardsiella,757.0
Eggerthella,46226.0
Ehrlichia,66.0
Eikenella,126.0
Elusimicrobium,4639.0
Encephalitozoon,63.0
Enhydrobacter,223.0
Entamoeba,1294.0
Enterobacter,25573.0
Enterococcus,25763.0
Epulopiscium,3306.0
Equus,28.0
Eremococcus,905.0
Eremothecium,22.0
Erwinia,794.0
Erysipelatoclostridium,26187.0
Erysipelothrix,1795.0
Erythrobacter,180.0
Escherichia,25443.0
Ethanoligenens,19999.0
Eubacterium,172311.0
Exiguobacterium,2200.0
Faecalibacterium,153048.0
Faecalitalea,9650.0
Felis,24.0
Ferrimonas,198.0
Ferroglobus,231.0
Ferroplasma,102.0
Fervidobacterium,507.0
Fibrobacter,3702.0
Filifactor,2700.0
Filobasidiella,77.0
Finegoldia,4073.0
Flavobacterium,3980.0
Flexistipes,296.0
Fluviicola,890.0
Francisella,1117.0
Frankia,575.0
Fructobacillus,151.0
Fulvimarina,77.0
Fusarium,232.0
Fusobacterium,53155.0
Gadus,58.0
Gaeumannomyces,22.0
Gallibacterium,629.0
Gallionella,246.0
Gallus,48.0
Gardnerella,1831.0
Gasterosteus,57.0
Gemella,2159.0
Gemmatimonas,203.0
Geobacillus,9769.0
Geobacter,5136.0
Geodermatophilus,92.0
Giardia,19.0
Glaciecola,265.0
Gloeobacter,861.0
Gluconacetobacter,267.0
Gluconobacter,91.0
Glycine,194.0
Gordonia,382.0
Gorilla,240.0
Gramella,688.0
Granulibacter,138.0
Granulicatella,1357.0
Granulicella,461.0
Grimontia,227.0
Haemophilus,20480.0
Hahella,640.0
Haladaptatus,103.0
Halalkalicoccus,64.0
Halanaerobium,2630.0
Haliangium,408.0
Haliscomenobacter,1666.0
Haloarcula,120.0
Halobacterium,31.0
Haloferax,84.0
Halogeometricum,40.0
Halomicrobium,78.0
Halomonas,367.0
Halopiger,123.0
Haloplasma,9872.0
Haloquadratum,878.0
Halorhabdus,312.0
Halorhodospira,98.0
Halorubrum,55.0
Haloterrigena,64.0
Halothermothrix,3106.0
Halothiobacillus,176.0
Helicobacter,4796.0
Heliconius,71.0
Heliobacterium,4826.0
Herbaspirillum,405.0
Herminiimonas,247.0
Herpetosiphon,608.0
Hippea,489.0
Hirschia,142.0
Histophilus,556.0
Histoplasma,14.0
Hoeflea,142.0
Holdemanella,25000.0
Holdemania,16310.0
Homo,25.0
Hordeum,49.0
Hyaloperonospora,370.0
Hydra,193.0
Hydrogenobacter,263.0
Hydrogenobaculum,197.0
Hylemonella,156.0
Hyperthermus,48.0
Hyphomicrobium,367.0
Hyphomonas,153.0
Ictidomys,15.0
Idiomarina,357.0
Ignicoccus,35.0
Ignisphaera,92.0
Ilyobacter,1887.0
Intestinibacter,13660.0
Intrasporangium,53.0
Isoptericola,190.0
Isosphaera,278.0
Ixodes,86.0
Janibacter,85.0
Jannaschia,64.0
Janthinobacterium,323.0
Jonesia,207.0
Jonquetella,936.0
Kangiella,267.0
Ketogulonicigenium,99.0
Kineococcus,110.0
Kingella,1389.0
Kitasatospora,142.0
Klebsiella,23330.0
Kluyveromyces,32.0
Kocuria,48.0
Komagataeibacter,173.0
Komagataella,61.0
Kordia,1181.0
Kosmotoga,897.0
Kribbella,303.0
Ktedonobacter,1428.0
Kyrpidia,1145.0
Kytococcus,48.0
Labrenzia,351.0
Laccaria,57.0
Lachancea,22.0
