sample,operons,ORFs,genes,has_phylum,has_COG,has_both,hit_sites,hit_operons,hit_ORFs,hit_genes,hit_has_phylum,hit_has_COG,hit_has_both
MH0077,51515,73550,13598,1096,8304,800,7209,5045,7561,1620,107,914,70
MH0078,24208,32384,2475,380,1099,261,3176,2209,2962,335,49,143,32
MH0079,38461,53430,11044,1001,6586,828,5776,3990,5722,1754,169,1054,149
MH0080,56483,76582,5079,726,2792,467,8003,5585,7622,628,86,363,60
MH0081,55228,76370,5696,753,3126,573,7312,5150,7459,646,68,353,53
MH0082,56081,78704,9179,462,4878,300,7896,5520,7955,1090,40,567,25
MH0083,66357,90664,6645,2156,4072,1733,7922,5535,7745,779,204,478,168
MH0084,18769,25262,1609,323,797,203,3211,2189,2957,244,46,124,34
MH0085,44994,61363,3347,1222,2044,933,6602,4634,6421,459,153,297,115
MH0086,84484,117440,13923,3411,9746,2813,10841,7801,11270,1696,394,1236,348
O2.UC1-0,27665,38789,3013,446,1758,327,3577,2481,3519,384,54,247,43
O2.UC11-0,20573,28702,774,251,358,166,2825,1986,2894,94,20,48,15
O2.UC12-0,36662,49664,2702,316,1132,185,3984,2800,3803,319,26,106,14
O2.UC13-0,46429,62154,1991,290,756,189,6250,4284,5782,228,30,79,16
O2.UC14-0,17524,22384,537,82,185,44,2245,1575,1992,57,7,22,2
O2.UC16-0,13488,17685,1045,155,405,112,1657,1188,1577,136,11,43,8
O2.UC17-0,17366,23997,664,252,320,143,2527,1761,2495,66,22,30,13
O2.UC18-0,32958,44165,4725,1724,2664,1175,3998,2825,3900,377,132,219,92
O2.UC19-0,45844,61269,1065,255,417,174,5714,4054,5448,65,19,27,13
O2.UC20-0,39344,53084,742,208,330,126,4814,3360,4602,63,18,24,9
O2.UC21-0,20090,26129,385,118,123,56,1842,1356,1750,35,6,7,3
O2.UC22-0,36568,48575,881,270,359,153,4421,3110,4282,91,18,35,11
O2.UC23-0,29406,39784,1173,189,677,128,2979,2126,2936,85,12,47,11
O2.UC24-0,34356,46388,3154,265,1441,160,3725,2607,3597,318,21,147,14
O2.UC4-0,34671,48163,1142,263,451,143,4544,3231,4543,86,16,27,8
V1.CD1-0,26761,38243,12716,2386,6837,1680,4804,3301,4907,57,16,24,7
V1.CD11-0,38099,49822,3788,2834,2891,2402,4801,3366,4362,456,365,370,320
V1.CD12-0,42919,59561,2602,958,1313,600,6660,4569,6487,293,93,131,54
V1.CD13-0,57947,81337,2252,372,986,243,7325,5167,7660,227,33,100,25
V1.CD14-0,65675,88427,2374,399,1003,233,7281,5161,7078,219,27,91,16
V1.CD15-0,32796,47371,378,225,182,127,5509,3824,5800,33,20,20,16
V1.CD2-0,20295,27232,1789,258,598,144,2686,1935,2595,174,20,64,11
V1.CD3-0,27060,39553,45077,17062,32995,14531,4309,2979,4544,100,15,50,11
V1.CD4-0,48549,65781,13213,3638,7409,2955,6056,4204,5748,96,15,34,11
V1.CD6-0,26370,37646,33108,3200,18466,2278,4020,2797,4236,84,17,24,7
V1.CD8-0,38837,53027,6393,1379,3224,934,5631,3877,5398,139,21,46,12
V1.CD9-0,44301,62222,3665,260,1932,172,6563,4547,6610,337,23,162,13
V1.UC10-0,60881,81250,1921,487,825,293,6818,4793,6473,153,31,65,17
V1.UC13-0,53369,74413,4580,623,3087,503,6136,4360,6194,297,35,192,26
V1.UC14-0,54712,75124,2726,363,1227,248,8020,5566,7856,285,25,124,15
V1.UC15-0,44129,58912,1920,366,1026,276,5118,3630,5010,148,21,70,14
V1.UC17-0,26116,33503,2371,726,1205,534,2797,2029,2519,191,70,105,58
V1.UC18-0,41610,57094,1198,357,478,202,6293,4375,6244,101,32,45,22
V1.UC19-0,51724,69396,1608,292,650,176,6601,4540,6249,150,25,69,14
V1.UC21-0,40962,56524,1491,447,696,301,5648,3978,5637,149,34,51,26
V1.UC6-0,79593,105443,1787,415,842,267,8553,6031,8052,94,14,46,10
V1.UC7-0,34727,46928,598,239,311,160,4438,3079,4351,45,17,20,10
V1.UC8-0,74681,102559,1907,507,843,333,9392,6582,9223,185,38,75,25
V1.UC9-0,50932,69228,2636,321,1318,198,5490,3884,5440,156,17,76,12
