eggNOG,n,post_prob_Firmicutes,post_prob_Gamma
COG4277,5.0,0.9999999989719635,1.4418810858020538e-08
NOG14386,1.0,0.5248609223879743,0.003924225174547569
NOG05704,2.0,0.40638197898456435,0.000599019742903767
NOG88268,1.0,0.3854492349112276,0.003924374508053771
NOG183472,3.0,0.3144941436791008,0.003139984559085914
NOG25220,1.0,0.3039340157299231,0.0039240884149882695
NOG48872,1.0,0.2659793180317389,0.0013733453135399882
NOG09675,2.0,0.2624324480198284,0.0005994009163811747
NOG102117,4.0,0.23286868653433393,0.0006735831365572196
COG1828,1.0,0.21923202603518752,0.004020863124887982
NOG90377,2.0,0.19206179648006802,0.0034237770511318763
NOG228130,1.0,0.19039293885896902,0.00897659430054265
NOG212332,1.0,0.17802228990181357,0.003924095022152455
NOG95554,1.0,0.16636255038743467,0.0039390167406794345
NOG63624,1.0,0.15858649658568008,0.00392408603465304
NOG83682,1.0,0.14859895581554466,0.003933078628242019
NOG24264,2.0,0.14735191296091907,0.0020433605921235656
NOG46045,2.0,0.14629684959517855,0.002512148685665483
NOG89625,2.0,0.14619377278670304,0.003527883002458292
NOG24629,1.0,0.1267371519921442,0.003968113672664924
NOG95261,1.0,0.12597488984492997,0.004924629460447495
NOG36906,2.0,0.12332013080695567,0.0035044535675141713
NOG185648,1.0,0.12274225931446923,0.02451659982434996
NOG76610,1.0,0.1206483572745351,0.003516868812519829
NOG197465,1.0,0.11953404951679532,0.0039242676441055965
NOG57867,2.0,0.11510950764875039,0.001677726311373857
NOG215731,1.0,0.10884377589600217,0.00392408842305988
NOG07434,2.0,0.09268670803363323,0.0007926288498143088
COG3428,1.0,0.09161984589232434,0.003932753285790005
NOG219481,2.0,0.09159447052918461,0.0024218951844159485
NOG05555,1.0,0.09104437247641967,0.07167511788934204
NOG46236,1.0,0.08600106698873969,0.003924086152459775
NOG03778,1.0,0.08490432983046822,0.004364641658590396
NOG214765,1.0,0.07717775827122754,0.0033563185078519416
NOG74646,1.0,0.07647910947856634,0.0035278424176857504
NOG09946,2.0,0.07548013469469586,0.0015341257315492965
NOG71601,2.0,0.07342450689765141,0.0015342532005794714
NOG04064,1.0,0.07201953048306632,0.005085539243101211
NOG86871,2.0,0.06937537413379287,0.0015390337317490069
NOG50723,4.0,0.06493363725200556,0.0008230996430410948
COG2352,1.0,0.06403160255661956,0.0035044522933479526
