eggNOG,n,post_prob
NOG03950,8.0,0.9590179793082655
COG5368,2.0,0.86366671796529
NOG04054,1.0,0.43595481146255916
NOG211956,2.0,0.38665698725970976
NOG152299,3.0,0.31124897801928414
NOG01360,1.0,0.28486899236857466
NOG62004,3.0,0.28152589539211215
COG3866,4.0,0.22891930193530446
NOG13585,2.0,0.20632669182606356
NOG62430,3.0,0.18256770848205522
NOG21285,1.0,0.16010844622066864
NOG91092,3.0,0.1314168209421462
NOG24623,2.0,0.10745086369031102
NOG65926,2.0,0.09670302332996208
NOG54976,3.0,0.09575927236468003
NOG17393,3.0,0.08721937460580934
NOG222319,1.0,0.07684778022706898
NOG69325,1.0,0.07473622489771865
NOG05555,1.0,0.07167511788934204
NOG110836,2.0,0.0656820880868292
NOG18908,2.0,0.059190794005637384
NOG195658,1.0,0.04989115064785436
COG0189,2.0,0.049158538390975254
NOG154738,2.0,0.04736195848440025
NOG00130,2.0,0.04687447220529732
NOG52198,1.0,0.04641993143348384
NOG22241,2.0,0.04434546805921677
NOG29185,1.0,0.04423816643334939
NOG180921,1.0,0.04306102685068919
NOG107511,1.0,0.04003454451356053
NOG104553,2.0,0.03948801423582806
NOG08684,1.0,0.03846195954533301
NOG105350,1.0,0.038056102871327005
NOG17580,2.0,0.036252444294347416
NOG61747,4.0,0.036175168097596765
NOG102524,1.0,0.03334643295624115
NOG56973,1.0,0.03284318160589064
NOG14606,3.0,0.03222124110424522
NOG15070,4.0,0.03146920132774899
NOG120366,1.0,0.02876373458346261
NOG01153,1.0,0.028576084086541307
NOG04650,1.0,0.02844018703989105
NOG89672,2.0,0.02809108538826859
NOG30406,1.0,0.027663754387274423
NOG200489,1.0,0.025685984077812845
NOG185648,1.0,0.02451659982434996
NOG204032,1.0,0.023921090105440482
NOG08555,3.0,0.02307803485868147
COG3315,5.0,0.022810750308144324
NOG02917,1.0,0.02212275484846412
NOG22539,1.0,0.022073562626930512
NOG160359,1.0,0.02168310635280557
NOG222682,1.0,0.021364787667236564
NOG25967,1.0,0.021364787667236564
NOG101304,1.0,0.02125568599445614
NOG09717,1.0,0.021183488648345957
NOG38878,2.0,0.02091884725012674
NOG64505,3.0,0.020797171385281227
COG4405,1.0,0.0206722754347308
NOG225531,2.0,0.020102603267890453
NOG108448,1.0,0.017802749419287615
NOG215239,2.0,0.0176052746138576
NOG41099,1.0,0.017013684263641964
NOG08704,1.0,0.016916796641149957
NOG122309,2.0,0.01684020642569154
NOG32535,2.0,0.016269629432288237
NOG03569,1.0,0.016189045731700637
NOG225751,1.0,0.01602321799846896
NOG15379,2.0,0.015919902028521244
NOG74022,1.0,0.015715993402726173
NOG80797,1.0,0.015710739216064952
COG2963,2.0,0.01468948358707579
