eggNOG,n,post_prob
COG0417,6.0,1.0
COG4277,32.0,0.9999999999997209
NOG101678,9.0,0.9999999975080482
COG1020,48.0,0.999999952366178
NOG230051,1.0,0.9901169236356422
NOG100004,7.0,0.9702834000824304
NOG12431,11.0,0.9675804786623101
NOG120983,2.0,0.9669999079663938
NOG119553,1.0,0.8429786378937278
NOG199550,2.0,0.7674027862350108
NOG51558,3.0,0.5281019822198567
NOG38886,1.0,0.49073474814706364
NOG107076,2.0,0.42781524788643377
NOG52176,1.0,0.419751874359047
NOG17565,5.0,0.3717902229326828
COG1796,1.0,0.3706238621284576
COG2307,1.0,0.36029041314966576
NOG227552,6.0,0.31245730407356004
NOG182798,2.0,0.30840965240466084
NOG41433,1.0,0.29285521227142475
NOG171953,2.0,0.29263469823961796
NOG23642,4.0,0.2853125710799769
NOG108645,1.0,0.2795307459268575
NOG14386,3.0,0.2700021703968354
NOG223522,2.0,0.267728065344294
NOG56429,4.0,0.262228722469009
NOG197465,4.0,0.23286670094572812
NOG04119,1.0,0.22917240815637488
NOG48872,3.0,0.2205958642430473
NOG88268,2.0,0.19864988645711681
NOG45428,11.0,0.1836699705492584
NOG88431,4.0,0.1740570723518842
NOG113996,2.0,0.16821816077784632
NOG43743,4.0,0.16286371621332515
COG1735,4.0,0.16234100874526358
NOG21895,3.0,0.1580334352145351
COG5032,1.0,0.1464433650272666
NOG57836,1.0,0.14457589891465597
NOG118605,2.0,0.14280133547225132
NOG65381,1.0,0.13951109664406475
NOG142734,1.0,0.1361093136025271
NOG09825,2.0,0.12707655793253028
NOG195292,1.0,0.1236216085900515
NOG113672,1.0,0.1230162154029832
NOG185648,1.0,0.12274225931446923
NOG48554,2.0,0.1210501886921853
COG1421,1.0,0.11361045655828887
NOG86492,1.0,0.10823449602556809
NOG69010,1.0,0.10570143597397931
NOG227116,1.0,0.10555499795675957
NOG181895,1.0,0.10485931424109941
NOG219465,1.0,0.09777251843898745
COG1828,2.0,0.09752171157717013
NOG102414,3.0,0.09598864619449257
NOG108253,3.0,0.09417049656914621
NOG44078,3.0,0.0925166404529136
NOG217038,1.0,0.09061550774781696
NOG84032,8.0,0.08866377994308888
NOG228130,2.0,0.0886457860890017
NOG183472,7.0,0.08833358469835594
NOG117867,3.0,0.08824743170677637
NOG104807,2.0,0.08811219337676378
NOG223293,3.0,0.08798775714829994
NOG231669,2.0,0.08622224158656244
NOG92497,3.0,0.08588011532405858
NOG202338,1.0,0.08407235303790814
NOG63711,5.0,0.0825103618593489
NOG106115,1.0,0.07847835139638293
NOG186328,1.0,0.07736510870358572
NOG187387,1.0,0.07650005280795386
NOG56330,2.0,0.07560667701498774
NOG21584,3.0,0.0751940969099194
NOG07857,2.0,0.07482014715442943
COG3428,3.0,0.07302768721794721
NOG05555,3.0,0.0725590837378725
NOG95554,2.0,0.07215303668385499
NOG88483,2.0,0.07142630530878877
NOG58848,1.0,0.07135234440448024
COG5418,1.0,0.06890932452893889
NOG109842,2.0,0.06884042071192455
NOG174057,5.0,0.06597734581634199
COG2352,1.0,0.06403160255661956
NOG150882,1.0,0.0636265920084909
NOG25220,3.0,0.06350389995031801
NOG93912,4.0,0.06177892199227225
NOG61379,5.0,0.06171373617002195
NOG80544,1.0,0.06170908500371572
NOG212332,4.0,0.06135647605972934
NOG32538,1.0,0.061287073656948195
NOG212395,1.0,0.0611446331829729
NOG08957,3.0,0.060671913264984834
NOG121947,2.0,0.06050089035083845
NOG154209,3.0,0.06030344949116287
NOG76457,1.0,0.06021976991388883
COG3961,3.0,0.05896570841331345
COG4502,7.0,0.05840618674524809
NOG36751,1.0,0.05744345879678508
NOG103115,2.0,0.057150720610944485
NOG128829,2.0,0.05651813322494155
NOG109395,3.0,0.056444689915832826
NOG43193,5.0,0.05498052149725197
NOG138001,1.0,0.053711129467962526
NOG119591,1.0,0.052792241215838705
NOG78897,3.0,0.0524395924323268
NOG217710,5.0,0.05186179232277882
NOG37740,3.0,0.05119963629413073
NOG122739,1.0,0.050797921877127714
NOG100917,2.0,0.050439645966522256
NOG36073,3.0,0.05043732969420525
NOG151228,4.0,0.0498552846658165
NOG04064,3.0,0.049523894667513044
NOG55419,2.0,0.04872300681447091
NOG36906,4.0,0.048379755468863174
NOG201527,1.0,0.04742325254564772
NOG190011,3.0,0.046624345773929814
NOG156509,1.0,0.046563844098226406
NOG11097,1.0,0.044113791473949934
NOG11323,1.0,0.044113791473949934
NOG115043,4.0,0.04407312772122475
NOG214744,1.0,0.04361938265069825
COG1980,1.0,0.04304454104333091
NOG06218,1.0,0.04304454104333091
NOG10236,3.0,0.04260363769645879
NOG56365,1.0,0.04244002508964855
COG4473,1.0,0.042326699757020934
COG4357,1.0,0.042326699757020934
NOG54569,1.0,0.041428133578671124
NOG213963,3.0,0.04100890567166992
NOG43847,2.0,0.03954674814613925
NOG75724,1.0,0.03889264299277775
NOG108929,1.0,0.03883171693499003
NOG212981,2.0,0.03869669046427365
NOG212587,1.0,0.03869327715539427
COG5565,5.0,0.038160328159898275
NOG67015,7.0,0.037659454505421346
NOG35850,1.0,0.0376421700523647
NOG28695,1.0,0.036915139906716965
NOG144122,3.0,0.03670061643274524
NOG217794,2.0,0.03658008031585247
NOG09675,6.0,0.036552651321569214
NOG223829,2.0,0.036283632299087897
NOG02873,2.0,0.0357084482865827
COG2974,1.0,0.03530352915177284
NOG56373,1.0,0.03498872265025002
NOG196842,2.0,0.034903603119222686
NOG21733,1.0,0.03355220439354623
NOG123333,3.0,0.0323936758396741
NOG117421,1.0,0.0322387936536652
NOG62091,2.0,0.031825619863333425
NOG57867,11.0,0.031295059527442055
COG3150,2.0,0.03109841482584508
NOG48228,4.0,0.03109594437386503
COG4605,7.0,0.03054550874880543
NOG90835,1.0,0.030468912994056123
NOG43512,1.0,0.030344697078723264
NOG29832,1.0,0.030131902421423898
NOG124255,7.0,0.030056845080310115
NOG215513,1.0,0.029951050645797027
NOG204078,1.0,0.029743510765460314
NOG48814,1.0,0.02965716564577956
NOG46591,12.0,0.029575419071306338
COG1498,2.0,0.029329946398300857
NOG113845,3.0,0.029329045819835125
NOG194096,4.0,0.02931849015967297
NOG27724,1.0,0.029075308481240947
NOG83088,3.0,0.028839329560559318
NOG13552,1.0,0.02882975635989124
NOG93106,1.0,0.028743667472886467
NOG71619,3.0,0.028217466053456
NOG91046,1.0,0.02807643771149126
NOG91724,1.0,0.02793390823420911
